job_role,skills,experience_level,domain,education_level,tools,required_experience_years,min_salary,max_salary,currency,job_type,industry,certifications,responsibilities,soft_skills,job_level,location,importance_score
Cloud Engineer,"monitoring,kubernetes,aws,docker,linux,gcp,azure,terraform",entry,cloud,master,jenkins,1,598381,2789374,INR,hybrid,AI/ML,aws cloud practitioner,automation,"leadership,creativity",Mid-level,Remote,5
Cybersecurity Analyst,"linux,firewall,incident response,vulnerability assessment,network security,python,cryptography",entry,security,master,nessus,0,563220,2021222,INR,intern,Cybersecurity,ceh,threat monitoring,"communication,problem-solving",Lead,Hyderabad,3
Full Stack Developer,"express,react,docker,javascript,mongodb,api,html,sql,rest",mid,software,diploma,figma,5,1198676,2194737,INR,intern,E-commerce,full stack certificate,deployment,"communication,teamwork",Lead,Pune,1
Frontend Developer,"css,typescript,javascript,jest,redux,react,sass,tailwind,html",entry,software,master,vscode,7,1029932,1895365,INR,on-site,Healthcare,frontend nanodegree,optimize frontend performance,"communication,leadership",Mid-level,Pune,4
Frontend Developer,"css,redux,typescript,react,html,sass",senior,software,bachelor,vscode,1,1392311,2879556,INR,contract,Cloud,frontend nanodegree,build UI,"problem-solving,adaptability",Mid-level,Mumbai,2
Software Developer,"c#,html,css,sql,java,react",entry,software,master,vscode,10,490036,2753546,INR,contract,Fintech,oracle java,fix bugs,"problem-solving,adaptability",Senior,Bangalore,3
Software Developer,"html,java,react,rest,docker,c#",entry,software,bachelor,vscode,10,1488177,1625577,INR,full-time,Fintech,aws developer,write clean code,"creativity,leadership",Senior,Mumbai,4
Data Scientist,"data analysis,nlp,python,matplotlib,pandas,scikit-learn,numpy",mid,data,bachelor,python,9,1353768,2544021,INR,remote,AI/ML,ibm data science,build predictive models,"communication,creativity",Architect,Delhi,4
Data Scientist,"scikit-learn,pandas,sql,python,data analysis,matplotlib,seaborn,numpy",entry,data,bachelor,jupyter,10,502800,1679741,INR,on-site,Cybersecurity,ibm data science,analyze datasets,"problem-solving,adaptability",Architect,Bangalore,4
DevOps Engineer,"docker,ci/cd,linux,aws,terraform,monitoring",entry,devops,master,jenkins,5,476243,2721221,INR,hybrid,Gaming,docker certified,manage CI/CD,"teamwork,creativity",Junior,Pune,4
Software Developer,"docker,git,api,css,typescript,c#,python,javascript",mid,software,master,git,2,922484,1959075,INR,remote,AI/ML,oracle java,write clean code,"communication,adaptability",Senior,Chennai,1
Machine Learning Engineer,"numpy,deep learning,sql,pandas,scikit-learn,tensorflow",senior,data,master,jupyter,5,1143282,1857562,INR,on-site,Cloud,google ml engineer,train ML models,"teamwork,communication",Junior,Canada,2
Backend Developer,"docker,java,api,redis,spring,rest",entry,software,master,vscode,0,1140691,2121798,INR,remote,Cloud,aws practitioner,manage databases,"adaptability,leadership",Senior,Chennai,3
Frontend Developer,"react,javascript,redux,html,webpack,css,jest",mid,software,diploma,chrome devtools,2,615630,1574766,INR,full-time,Cloud,frontend nanodegree,optimize frontend performance,"creativity,problem-solving",Lead,Pune,2
Frontend Developer,"react,sass,css,redux,typescript",senior,software,master,figma,1,1323120,2675811,INR,hybrid,Cloud,frontend nanodegree,build UI,"adaptability,leadership",Architect,Hyderabad,5
Cybersecurity Analyst,"incident response,vulnerability assessment,python,linux,network security",senior,security,diploma,wireshark,0,1059642,2707292,INR,full-time,Healthcare,ceh,security audits,"teamwork,creativity",Mid-level,Bangalore,1
Software Developer,"css,python,rest,git,html,react,java,docker,node.js,api",entry,software,master,git,4,1369591,2646689,INR,intern,Fintech,aws developer,write clean code,"problem-solving,communication",Architect,USA,4
Cloud Engineer,"kubernetes,ci/cd,linux,azure,gcp,terraform",entry,cloud,master,jenkins,6,1421468,1854580,INR,intern,Cybersecurity,aws cloud practitioner,deploy cloud infra,"adaptability,leadership",Lead,Chennai,4
Full Stack Developer,"css,api,sql,git,react,docker,html,rest,mongodb,express,javascript",mid,software,bachelor,vscode,1,874396,1796195,INR,remote,Healthcare,full stack certificate,end-to-end development,"adaptability,teamwork",Lead,Pune,5
Full Stack Developer,"express,rest,css,node.js,sql,javascript,html,api,docker,mongodb",mid,software,bachelor,vscode,4,363323,1695018,INR,full-time,Gaming,full stack certificate,deployment,"adaptability,creativity",Lead,Delhi,3
Machine Learning Engineer,"pytorch,sql,tensorflow,scikit-learn,pandas,nlp,deep learning,mlops,numpy,python",senior,data,diploma,jupyter,5,400784,1929294,INR,contract,Healthcare,google ml engineer,build pipelines,"communication,teamwork",Mid-level,Chennai,1
Data Analyst,"statistics,pandas,sql,tableau,data visualization,powerbi",senior,data,master,tableau,2,793150,2587924,INR,remote,E-commerce,google data analytics,analyze data,"creativity,leadership",Junior,Mumbai,2
Data Scientist,"scikit-learn,pandas,statistics,sql,numpy",senior,data,bachelor,python,1,640351,1805791,INR,contract,Healthcare,ibm data science,build predictive models,"problem-solving,communication",Senior,Bangalore,3
Data Scientist,"scikit-learn,seaborn,nlp,sql,data analysis,matplotlib,pandas,numpy,statistics",mid,data,diploma,jupyter,1,474017,2953704,INR,remote,Cybersecurity,ibm data science,analyze datasets,"adaptability,teamwork",Junior,Bangalore,1
Machine Learning Engineer,"pytorch,numpy,deep learning,scikit-learn,sql,docker,python,tensorflow,mlops",senior,data,master,pytorch,1,1441643,1601356,INR,hybrid,E-commerce,google ml engineer,train ML models,"adaptability,leadership",Mid-level,USA,2
Data Analyst,"python,data visualization,powerbi,statistics,excel,tableau,pandas",mid,data,diploma,powerbi,4,491607,2515742,INR,remote,IT Services,google data analytics,create dashboards,"problem-solving,adaptability",Lead,Hyderabad,4
Backend Developer,"api,rest,spring,express,docker,python,redis",mid,software,master,docker,7,687564,2771667,INR,hybrid,Fintech,aws practitioner,manage databases,"problem-solving,creativity",Senior,Bangalore,3
Machine Learning Engineer,"pandas,python,deep learning,sql,docker,nlp,pytorch,mlops,tensorflow,numpy",senior,data,bachelor,jupyter,3,1428917,1584824,INR,full-time,Gaming,google ml engineer,train ML models,"teamwork,creativity",Junior,Hyderabad,2
DevOps Engineer,"docker,kubernetes,ci/cd,linux,terraform",senior,devops,master,docker,10,1231042,1973690,INR,hybrid,Cloud,docker certified,infra automation,"leadership,adaptability",Mid-level,Hyderabad,4
Data Analyst,"pandas,excel,data visualization,sql,powerbi,statistics,tableau",senior,data,diploma,powerbi,4,811082,1833589,INR,on-site,Cloud,google data analytics,analyze data,"leadership,communication",Senior,Pune,4
Backend Developer,"spring,docker,node.js,redis,django,mongodb,postgresql,sql,python,api",entry,software,master,docker,4,681964,2524591,INR,intern,AI/ML,aws practitioner,manage databases,"adaptability,creativity",Mid-level,Pune,5
Frontend Developer,"jest,webpack,html,redux,react,typescript,tailwind,javascript",mid,software,master,figma,7,587316,2226068,INR,full-time,E-commerce,frontend nanodegree,optimize frontend performance,"teamwork,problem-solving",Junior,Remote,2
DevOps Engineer,"aws,ci/cd,jenkins,kubernetes,terraform,linux,docker",mid,devops,bachelor,docker,9,1400651,1662306,INR,hybrid,IT Services,docker certified,manage CI/CD,"leadership,problem-solving",Lead,Canada,1
Cloud Engineer,"aws,azure,gcp,kubernetes,terraform,docker",senior,cloud,bachelor,jenkins,6,876923,2703431,INR,intern,Fintech,aws cloud practitioner,deploy cloud infra,"adaptability,communication",Senior,Remote,2
Full Stack Developer,"express,git,html,javascript,sql,css,react,docker,rest,mongodb",mid,software,bachelor,postman,1,849041,2949460,INR,intern,Fintech,full stack certificate,deployment,"teamwork,creativity",Mid-level,Mumbai,3
Backend Developer,"mongodb,python,redis,postgresql,express,sql,api,django",senior,software,diploma,postman,3,658142,2572724,INR,on-site,E-commerce,aws practitioner,manage databases,"teamwork,creativity",Senior,Mumbai,1
Machine Learning Engineer,"python,pytorch,docker,sql,mlops,pandas",mid,data,master,jupyter,0,1244086,2582442,INR,on-site,Cloud,google ml engineer,build pipelines,"creativity,problem-solving",Architect,Canada,5
Frontend Developer,"sass,javascript,html,react,typescript,redux",entry,software,bachelor,vscode,1,683637,2805320,INR,contract,IT Services,frontend nanodegree,build UI,"leadership,creativity",Lead,USA,3
Backend Developer,"django,spring,postgresql,sql,python",entry,software,master,postman,8,1189772,2654793,INR,hybrid,AI/ML,aws practitioner,build APIs,"problem-solving,creativity",Mid-level,Bangalore,2
Data Scientist,"statistics,nlp,numpy,seaborn,pandas,scikit-learn,matplotlib,python",mid,data,bachelor,tableau,4,1362663,1848012,INR,full-time,Fintech,ibm data science,build predictive models,"communication,problem-solving",Junior,Bangalore,5
Data Scientist,"seaborn,nlp,numpy,data analysis,sql",senior,data,bachelor,python,8,976555,2163141,INR,on-site,Gaming,ibm data science,build predictive models,"teamwork,communication",Junior,Canada,5
Backend Developer,"java,spring,python,postgresql,sql,docker",senior,software,master,vscode,1,963727,2644510,INR,remote,AI/ML,aws practitioner,manage databases,"communication,leadership",Mid-level,Delhi,4
Cloud Engineer,"gcp,terraform,monitoring,aws,azure,docker,ci/cd",mid,cloud,diploma,cloudwatch,1,1353375,1757985,INR,full-time,Gaming,aws cloud practitioner,deploy cloud infra,"communication,adaptability",Mid-level,Mumbai,2
Software Developer,"typescript,python,javascript,java,git,css,sql,rest",senior,software,bachelor,postman,6,1297614,2501282,INR,on-site,E-commerce,aws developer,fix bugs,"teamwork,communication",Senior,Bangalore,1
DevOps Engineer,"kubernetes,linux,docker,monitoring,ci/cd,jenkins",entry,devops,master,kubernetes,7,331066,2216268,INR,intern,Gaming,docker certified,manage CI/CD,"creativity,teamwork",Architect,Canada,2
Machine Learning Engineer,"numpy,mlops,nlp,python,deep learning,pytorch,sql,docker,pandas,scikit-learn",entry,data,master,pytorch,0,534911,2001592,INR,on-site,E-commerce,google ml engineer,train ML models,"leadership,problem-solving",Mid-level,Mumbai,3
Full Stack Developer,"sql,mongodb,docker,api,react,html",mid,software,master,vscode,8,1307653,2912007,INR,intern,IT Services,full stack certificate,end-to-end development,"leadership,communication",Senior,Bangalore,2
Data Analyst,"excel,statistics,powerbi,python,sql,tableau",mid,data,diploma,powerbi,2,1430964,1502517,INR,on-site,Cloud,google data analytics,analyze data,"communication,creativity",Junior,Canada,4
Software Developer,"java,git,api,css,html,typescript,docker,sql,rest,c#",senior,software,diploma,git,9,1290504,2120979,INR,full-time,Healthcare,oracle java,develop software features,"problem-solving,communication",Architect,Remote,5
Cybersecurity Analyst,"python,vulnerability assessment,incident response,network security,linux,firewall",entry,security,master,wireshark,4,1091312,1708274,INR,contract,E-commerce,ceh,security audits,"leadership,communication",Junior,Bangalore,3
Machine Learning Engineer,"sql,pytorch,nlp,mlops,scikit-learn",mid,data,diploma,jupyter,1,501235,1851052,INR,hybrid,IT Services,google ml engineer,train ML models,"problem-solving,teamwork",Mid-level,Remote,1
Data Analyst,"pandas,statistics,data visualization,python,powerbi,sql",entry,data,master,excel,0,1118275,2111582,INR,on-site,Cloud,google data analytics,analyze data,"problem-solving,creativity",Senior,Mumbai,1
Frontend Developer,"html,webpack,sass,react,javascript,css",entry,software,master,chrome devtools,1,658036,2924391,INR,full-time,Cybersecurity,frontend nanodegree,build UI,"problem-solving,communication",Lead,Pune,4
DevOps Engineer,"aws,ci/cd,linux,docker,kubernetes",entry,devops,bachelor,kubernetes,4,1451797,1774754,INR,contract,AI/ML,docker certified,manage CI/CD,"leadership,creativity",Junior,Pune,2
Data Analyst,"data visualization,pandas,powerbi,python,excel,sql",mid,data,master,tableau,3,1019586,2415458,INR,full-time,E-commerce,google data analytics,create dashboards,"communication,adaptability",Architect,Bangalore,2
Cybersecurity Analyst,"cryptography,network security,linux,vulnerability assessment,firewall,python",senior,security,master,metasploit,6,1040115,2117858,INR,contract,Healthcare,ceh,security audits,"leadership,adaptability",Architect,Mumbai,1
Cybersecurity Analyst,"incident response,cryptography,network security,firewall,linux,vulnerability assessment",mid,security,master,metasploit,1,1276887,2052591,INR,intern,IT Services,ceh,threat monitoring,"creativity,leadership",Senior,Bangalore,2
Full Stack Developer,"docker,rest,api,node.js,javascript,git,sql,express",mid,software,bachelor,figma,2,775292,2387571,INR,remote,Fintech,full stack certificate,end-to-end development,"creativity,teamwork",Lead,Remote,1
Data Scientist,"seaborn,data analysis,scikit-learn,sql,numpy",mid,data,master,python,1,555926,2044453,INR,remote,IT Services,ibm data science,analyze datasets,"teamwork,adaptability",Senior,USA,2
Data Scientist,"sql,scikit-learn,seaborn,data analysis,nlp,numpy,pandas,statistics",mid,data,bachelor,tableau,3,1214618,2080239,INR,contract,Healthcare,ibm data science,build predictive models,"teamwork,communication",Lead,USA,3
DevOps Engineer,"kubernetes,ci/cd,jenkins,linux,terraform,aws",entry,devops,master,jenkins,3,1025662,2588207,INR,contract,Fintech,docker certified,manage CI/CD,"problem-solving,teamwork",Architect,Mumbai,2
Full Stack Developer,"docker,css,express,javascript,git,mongodb,html,sql",entry,software,diploma,vscode,2,1017449,2578940,INR,on-site,Cloud,full stack certificate,deployment,"creativity,leadership",Senior,Mumbai,4
DevOps Engineer,"aws,docker,linux,monitoring,ci/cd,terraform,kubernetes",mid,devops,bachelor,jenkins,4,642290,2033879,INR,full-time,Healthcare,docker certified,infra automation,"adaptability,problem-solving",Senior,Mumbai,4
Full Stack Developer,"rest,react,git,javascript,node.js,docker",mid,software,master,figma,8,733894,1697342,INR,remote,Healthcare,full stack certificate,deployment,"teamwork,creativity",Lead,USA,1
Data Scientist,"numpy,seaborn,statistics,scikit-learn,matplotlib,data analysis,sql,nlp,python,pandas",senior,data,diploma,python,3,1040658,2873454,INR,hybrid,Cloud,ibm data science,build predictive models,"teamwork,problem-solving",Lead,Pune,4
Full Stack Developer,"express,html,docker,css,mongodb",senior,software,master,vscode,10,315181,2110384,INR,contract,Healthcare,full stack certificate,end-to-end development,"leadership,problem-solving",Architect,Bangalore,5
Full Stack Developer,"express,sql,mongodb,css,rest,docker,git,api,html,javascript",mid,software,master,postman,8,1311050,2176689,INR,full-time,E-commerce,full stack certificate,end-to-end development,"creativity,teamwork",Senior,USA,5
Full Stack Developer,"html,express,api,rest,docker,sql,git,node.js",entry,software,diploma,vscode,10,1333193,2787288,INR,full-time,IT Services,full stack certificate,deployment,"communication,creativity",Architect,Delhi,4
Backend Developer,"api,docker,python,sql,express,postgresql,spring,redis,rest",senior,software,diploma,vscode,10,1401914,2043636,INR,intern,Cybersecurity,aws practitioner,manage databases,"teamwork,adaptability",Junior,Bangalore,1
Cloud Engineer,"monitoring,azure,ci/cd,linux,kubernetes,docker,gcp,aws,terraform",mid,cloud,master,terraform,6,629263,1538529,INR,contract,Cybersecurity,aws cloud practitioner,automation,"adaptability,problem-solving",Mid-level,Canada,3
Software Developer,"api,typescript,html,java,python,react,rest,c#,sql",mid,software,master,git,4,825364,2869505,INR,hybrid,IT Services,oracle java,fix bugs,"communication,adaptability",Architect,Delhi,3
Cybersecurity Analyst,"incident response,vulnerability assessment,cryptography,firewall,network security,linux,python",mid,security,diploma,wireshark,8,1209586,2687232,INR,on-site,IT Services,ceh,security audits,"creativity,leadership",Lead,Chennai,2
Software Developer,"javascript,java,html,git,api,docker",entry,software,master,postman,8,1399840,2550330,INR,hybrid,Fintech,oracle java,develop software features,"teamwork,adaptability",Senior,Remote,1
Machine Learning Engineer,"mlops,docker,pandas,numpy,scikit-learn",mid,data,bachelor,tensorflow,7,1024169,2105198,INR,on-site,Healthcare,google ml engineer,train ML models,"problem-solving,leadership",Architect,Remote,4
Data Scientist,"seaborn,statistics,python,scikit-learn,matplotlib",mid,data,bachelor,tableau,4,1235344,1600242,INR,contract,AI/ML,ibm data science,analyze datasets,"problem-solving,creativity",Mid-level,Canada,5
Backend Developer,"node.js,docker,java,mongodb,postgresql",mid,software,master,docker,3,993936,2083337,INR,full-time,E-commerce,aws practitioner,manage databases,"teamwork,communication",Mid-level,Hyderabad,4
Software Developer,"html,java,c#,node.js,api",senior,software,master,postman,1,1451235,1743679,INR,on-site,Cloud,oracle java,write clean code,"teamwork,adaptability",Mid-level,Delhi,3
Data Scientist,"statistics,numpy,sql,data analysis,seaborn,pandas,matplotlib,scikit-learn,python",mid,data,diploma,jupyter,3,761833,1885478,INR,on-site,Gaming,ibm data science,build predictive models,"problem-solving,creativity",Lead,Canada,3
Cybersecurity Analyst,"python,network security,linux,firewall,cryptography,incident response",mid,security,master,nessus,5,382763,2608057,INR,remote,Healthcare,ceh,threat monitoring,"creativity,communication",Mid-level,Chennai,2
Backend Developer,"docker,python,redis,postgresql,java,spring,django,sql,rest,express",senior,software,bachelor,postman,9,1287062,2264358,INR,hybrid,AI/ML,aws practitioner,manage databases,"communication,creativity",Senior,Pune,5
Backend Developer,"rest,mongodb,python,django,docker,sql,spring,express,node.js",entry,software,diploma,vscode,7,853014,1693793,INR,hybrid,IT Services,aws practitioner,manage databases,"teamwork,leadership",Architect,Delhi,3
Cybersecurity Analyst,"python,incident response,network security,cryptography,linux,firewall,vulnerability assessment",senior,security,master,wireshark,2,1206254,2790302,INR,remote,IT Services,ceh,threat monitoring,"teamwork,problem-solving",Junior,Pune,3
Machine Learning Engineer,"nlp,mlops,pytorch,python,docker,deep learning,sql,tensorflow,numpy,scikit-learn",senior,data,master,jupyter,4,498292,2743357,INR,intern,Cloud,google ml engineer,build pipelines,"adaptability,creativity",Senior,Chennai,1
Data Analyst,"sql,data visualization,pandas,excel,statistics",mid,data,bachelor,excel,4,391686,2158769,INR,contract,E-commerce,google data analytics,create dashboards,"communication,teamwork",Architect,Remote,4
Data Analyst,"sql,tableau,pandas,powerbi,python,excel,data visualization,statistics",senior,data,master,powerbi,2,1073555,2347492,INR,contract,Cybersecurity,google data analytics,create dashboards,"adaptability,communication",Senior,Chennai,2
Cloud Engineer,"docker,monitoring,ci/cd,linux,azure,aws,terraform,kubernetes,gcp",senior,cloud,master,jenkins,0,635353,2935215,INR,on-site,AI/ML,aws cloud practitioner,deploy cloud infra,"communication,problem-solving",Architect,Chennai,4
Cybersecurity Analyst,"incident response,python,vulnerability assessment,firewall,cryptography,network security",entry,security,master,wireshark,4,1355469,1969319,INR,remote,Cybersecurity,ceh,security audits,"teamwork,leadership",Junior,USA,1
Data Analyst,"data visualization,powerbi,sql,excel,python,pandas",mid,data,bachelor,excel,3,1425953,2389007,INR,remote,IT Services,google data analytics,analyze data,"problem-solving,teamwork",Lead,Bangalore,3
Backend Developer,"node.js,sql,spring,java,redis,api,postgresql",senior,software,bachelor,postman,4,842504,2372325,INR,on-site,Cloud,aws practitioner,manage databases,"leadership,adaptability",Mid-level,Mumbai,4
Backend Developer,"node.js,sql,rest,docker,mongodb,redis,django,postgresql,api,spring",mid,software,master,vscode,6,1287824,1696336,INR,contract,Cloud,aws practitioner,build APIs,"leadership,teamwork",Architect,Delhi,5
Full Stack Developer,"express,mongodb,rest,api,react,sql",senior,software,diploma,postman,4,514025,2361692,INR,remote,Fintech,full stack certificate,end-to-end development,"leadership,adaptability",Lead,Mumbai,1
Backend Developer,"rest,django,redis,sql,spring,postgresql,docker,express,node.js,python,api,mongodb",senior,software,diploma,postman,6,639683,2004863,INR,full-time,Cloud,aws practitioner,manage databases,"communication,creativity",Junior,Bangalore,2
Backend Developer,"docker,django,spring,node.js,sql,redis,rest,postgresql,mongodb,api,express",senior,software,master,docker,8,1399901,1517578,INR,full-time,Healthcare,aws practitioner,build APIs,"communication,leadership",Junior,Hyderabad,3
Backend Developer,"docker,python,redis,api,mongodb,java,spring",entry,software,bachelor,vscode,4,977006,2272946,INR,remote,Fintech,aws practitioner,build APIs,"adaptability,problem-solving",Senior,USA,2
Machine Learning Engineer,"pandas,python,scikit-learn,tensorflow,sql,deep learning,mlops,pytorch",mid,data,bachelor,jupyter,6,718293,2847740,INR,hybrid,E-commerce,google ml engineer,build pipelines,"communication,problem-solving",Senior,USA,5
DevOps Engineer,"monitoring,ci/cd,docker,kubernetes,linux,terraform,aws,jenkins",senior,devops,diploma,kubernetes,3,923975,2467314,INR,remote,Gaming,docker certified,manage CI/CD,"leadership,teamwork",Mid-level,Remote,1
Frontend Developer,"javascript,sass,webpack,typescript,redux,css,tailwind,react",entry,software,master,figma,1,727260,2095835,INR,intern,Healthcare,frontend nanodegree,build UI,"creativity,teamwork",Architect,Bangalore,5
Machine Learning Engineer,"numpy,pandas,nlp,pytorch,deep learning,scikit-learn,docker,mlops",mid,data,master,pytorch,1,664484,2389852,INR,full-time,Gaming,google ml engineer,build pipelines,"creativity,teamwork",Lead,Chennai,1
Machine Learning Engineer,"docker,tensorflow,python,mlops,pytorch,sql",senior,data,diploma,jupyter,5,526264,1540010,INR,contract,Cloud,google ml engineer,build pipelines,"leadership,problem-solving",Architect,Hyderabad,3
